# t qw qx qy qz x y z vx vy vz p q r ax ay az
0.105 0.936684 0.027782 0.0736792 -0.341209 -0.692045 1.57674 0.910437 -1.4447 -2.70183 -0.00209595 -0.158777 -0.18308 0.989761 2.5384 -1.53395 0.599141 
0.106 0.936861 0.027713 0.0736071 -0.340742 -0.693489 1.57403 0.910435 -1.44368 -2.70467 -0.00190451 -0.158829 -0.181872 0.989227 2.54363 -1.50676 0.601316 
0.107 0.937039 0.0276441 0.0735355 -0.340275 -0.694932 1.57133 0.910433 -1.44264 -2.70749 -0.00171123 -0.158882 -0.180629 0.988681 2.54883 -1.47959 0.603455 
0.108 0.937215 0.0275753 0.0734646 -0.339809 -0.696374 1.56862 0.910431 -1.44157 -2.71029 -0.00151614 -0.158936 -0.179354 0.988122 2.55398 -1.45243 0.605559 
0.109 0.937392 0.0275068 0.0733942 -0.339342 -0.697815 1.56591 0.91043 -1.44048 -2.71308 -0.00131927 -0.15899 -0.178044 0.987551 2.55909 -1.4253 0.607625 
0.11 0.937568 0.0274384 0.0733244 -0.338876 -0.699255 1.56319 0.910429 -1.43937 -2.71584 -0.00112064 -0.159045 -0.176701 0.986968 2.56416 -1.39818 0.609654 
0.111 0.937744 0.0273701 0.0732553 -0.33841 -0.700694 1.56048 0.910428 -1.43823 -2.71859 -0.000920302 -0.1591 -0.175325 0.986373 2.56919 -1.37109 0.611644 
0.112 0.937919 0.0273021 0.0731869 -0.337944 -0.702132 1.55776 0.910427 -1.43707 -2.72132 -0.000718277 -0.159155 -0.173915 0.985765 2.57418 -1.34401 0.613596 
0.113 0.938094 0.0272342 0.0731191 -0.337479 -0.703568 1.55503 0.910426 -1.43588 -2.72403 -0.000514603 -0.159211 -0.172471 0.985145 2.57913 -1.31696 0.615507 
0.114 0.938268 0.0271666 0.073052 -0.337013 -0.705003 1.55231 0.910426 -1.43467 -2.72672 -0.000309313 -0.159268 -0.170994 0.984513 2.58403 -1.28992 0.617378 
0.115 0.938442 0.0270991 0.0729856 -0.336548 -0.706437 1.54958 0.910426 -1.43344 -2.72939 -0.000102444 -0.159325 -0.169483 0.983868 2.58889 -1.26291 0.619207 
